timestamp,city_zone,traffic_density,avg_speed_kmph,traffic_signal_status,vehicle_count,co_ppm,no2_ppb,so2_ppb,pm2_5,pm10,temperature_c,humidity_percent,aqi,zone_id,lane_id,avg_speed,co,no2,so2,aqi_category,traffic_severity,accident_risk,pollution_hotspot,future_aqi,future_traffic,speed_limit
2024-01-01 00:00:00,Zone_D,10,15,Yellow,150,2.05,22.99,35.68,154.38,167,18.05,84.97,72,3,3,25,1.037589995095095,105,33,Moderate,Low,Medium,No,85,18,40
2024-01-01 00:01:00,Zone_E,113,36,Green,190,2.29,64.58,5.39,23.47,49,23.83,83.12,251,17,4,31,1.52046156338421,70,22,Very Unhealthy,Critical,High,Yes,266,110,80
2024-01-01 00:02:00,Zone_C,74,19,Green,217,2.53,47.63,42.84,116.21,45,36.02,54.04,152,17,2,15,0.966978569006179,28,65,Unhealthy,High,Medium,Yes,152,82,80
2024-01-01 00:03:00,Zone_E,10,48,Yellow,439,0.23,14.81,45.41,66.13,162,33.08,77.07,275,8,3,62,0.2590134780744981,63,74,Very Unhealthy,Low,Low,Yes,266,10,50
2024-01-01 00:04:00,Zone_E,134,46,Yellow,61,2.23,28.22,39.77,140.3,133,22.2,86.27,382,19,1,71,1.202111806839457,146,12,Very Unhealthy,Critical,Low,Yes,388,131,80
2024-01-01 00:05:00,Zone_B,69,63,Green,92,2.99,38.38,35.44,159.22,186,19.34,77.82,118,18,3,22,1.9385696477946048,10,21,Unhealthy(SG),High,High,No,119,71,80
2024-01-01 00:06:00,Zone_C,34,60,Red,121,1.58,35.67,21.49,162.76,135,36.21,88.33,381,18,3,64,2.227309663434493,147,39,Very Unhealthy,Medium,Medium,Yes,375,35,80
2024-01-01 00:07:00,Zone_C,100,69,Red,378,1.72,76.39,59.8,13.83,71,16.36,75.08,326,2,1,76,2.497066631418022,38,42,Very Unhealthy,Critical,Low,Yes,338,113,40
2024-01-01 00:08:00,Zone_C,147,60,Green,53,0.5,14.86,44.91,98.08,114,31.36,57.91,276,2,2,65,1.9280495454449065,124,42,Very Unhealthy,Critical,High,Yes,292,152,40
2024-01-01 00:09:00,Zone_E,59,71,Green,214,1.15,58.82,12.83,127.29,143,36.94,66.38,298,2,1,28,1.0044126117671257,62,24,Very Unhealthy,Medium,High,Yes,297,64,40
2024-01-01 00:10:00,Zone_D,149,58,Green,213,1.92,99.81,12.54,182.48,55,38.05,67.69,257,17,3,42,0.9659643649134312,137,60,Very Unhealthy,Critical,High,Yes,256,144,80
2024-01-01 00:11:00,Zone_C,101,60,Green,81,0.54,41.4,63.29,27.92,161,27.82,60.22,343,16,4,45,0.5497219463953114,129,54,Very Unhealthy,Critical,Medium,Yes,351,103,80
2024-01-01 00:12:00,Zone_E,41,37,Yellow,234,1.13,76.53,48.93,231.85,81,15.14,33.61,294,9,1,34,1.0167176282956472,100,16,Very Unhealthy,Medium,Low,Yes,304,42,50
2024-01-01 00:13:00,Zone_B,42,45,Red,189,1.17,111.46,42.89,25.21,111,19.82,74.75,145,10,1,22,0.6140363521731885,34,17,Unhealthy(SG),Medium,Medium,No,142,49,50
